route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
1,Bronzeville/Union Station,1/1/21,199.4,0,0,3987
2,Hyde Park Express,1/1/21,415.7,0,0,8314
3,King Drive,1/1/21,5477.3,4155.1,2891.1,147668
4,Cottage Grove,1/1/21,8095.1,5921.4,4010.6,215573
5,South Shore Night Bus,1/1/21,159.7,114.7,155.4,4699
6,Jackson Park Express,1/1/21,2823.5,2807.7,1993.5,82469
7,Harrison,1/1/21,1142.8,0,0,22855
8,Halsted,1/1/21,5732.5,4267.1,2895.5,153359
8A,South Halsted,1/1/21,1168.6,1069.5,607.6,32366
9,Ashland,1/1/21,7606.2,7715.1,5452.2,223414
X9,Ashland Express,1/1/21,2524.6,0,0,50492
11,Lincoln,1/1/21,569.8,352.6,245.5,14633
12,Roosevelt,1/1/21,4702.9,3123.3,2118.9,122389
J14,Jeffery Jump,1/1/21,3353.1,2154.7,1447.5,86521
15,Jeffery Local,1/1/21,2732.4,2137.9,1592.3,74891
18,16th/18th,1/1/21,1282.2,931.4,603.1,33921
20,Madison,1/1/21,5604,4011.8,2942.8,149796
21,Cermak,1/1/21,3347.1,2873.7,1624.5,91057
22,Clark,1/1/21,5813.4,4774.9,3402.4,160557
24,Wentworth,1/1/21,671.4,0,0,13429
26,South Shore Express,1/1/21,1442.7,0,0,28854
28,Stony Island,1/1/21,1983.8,1459.7,950.7,52678
29,State,1/1/21,3139.5,2504.5,1814.5,86200
30,South Chicago,1/1/21,1014.8,842.7,466,27306
31,31st,1/1/21,152.6,0,0,3052
34,South Michigan,1/1/21,1832.9,1536.3,969.6,50158
35,31st/35th,1/1/21,1455.4,922.4,617.7,37425
36,Broadway,1/1/21,4948.9,5272.8,3176,144398
37,Sedgwick,1/1/21,157.1,0,0,3143
39,Pershing,1/1/21,658,281.1,204.9,15794
43,43rd,1/1/21,542.4,354.4,235.7,14035
44,Wallace-Racine,1/1/21,1102,599.5,404.6,27465
47,47th,1/1/21,4035.9,2937.7,2039.3,107643
48,South Damen,1/1/21,248.1,0,0,4963
49,Western,1/1/21,6124.2,5538.9,3965.1,173970
49B,North Western,1/1/21,2002.3,1577.2,1244.1,55397
X49,Western Express,1/1/21,1690.5,0,0,33810
50,Damen,1/1/21,2910.7,1694.6,1168.7,73700
51,51st,1/1/21,470.8,344.3,247,12619
52,Kedzie,1/1/21,3310.3,2347.6,1466.4,86744
52A,South Kedzie,1/1/21,1472,924.7,564.6,37452
53,Pulaski,1/1/21,7376.4,5323.3,3807.3,196989
53A,South Pulaski,1/1/21,2263.3,1285.6,795.8,56468
54,Cicero,1/1/21,4351.9,3286.1,2153.1,116387
54A,North Cicero/Skokie Blvd.,1/1/21,236.5,0,0,4730
54B,South Cicero,1/1/21,1180.2,922.1,524.4,31360
55,Garfield,1/1/21,3128.9,2390.7,1771.9,85164
55A,55th/Austin,1/1/21,62.6,0,0,1251
55N,55th/Narragansett,1/1/21,163.5,107.4,0,3808
56,Milwaukee,1/1/21,2789.9,2206.9,1345.7,74905
57,Laramie,1/1/21,786.3,469.8,263.4,19656
59,59th/61st,1/1/21,1105.8,711,0,25672
60,Blue Island/26th,1/1/21,3008.6,2076.5,1447,79237
62,Archer,1/1/21,3043.1,2143.7,1726.9,81941
62H,Archer/Harlem,1/1/21,383.6,246,0,8902
63,63rd,1/1/21,5806.7,4372.2,3481.2,158882
63W,West 63rd,1/1/21,544.3,276.3,250.2,13769
65,Grand,1/1/21,1951.6,1322.1,893.3,51003
66,Chicago,1/1/21,6867.2,4885.8,3506.9,182814
67,67th-69th-71st,1/1/21,3681.6,2590.6,2162.4,99560
68,Northwest Highway,1/1/21,414.5,286,164.1,10705
70,Division,1/1/21,2801.5,2011.4,1508.2,75137
71,71st/South Shore,1/1/21,3801.7,3151.1,2193.1,104949
72,North,1/1/21,5046.6,4060,2799,138027
73,Armitage,1/1/21,1527.7,980.9,761.4,40027
74,Fullerton,1/1/21,3974.2,3018.8,1996,106555
75,74th-75th,1/1/21,2701,2094.2,1524.5,73638
76,Diversey,1/1/21,4242.7,2632.7,1648.6,107910
77,Belmont,1/1/21,6356.5,4656.3,3210.6,169675
78,Montrose,1/1/21,2128.3,1588.6,1101.2,57117
79,79th,1/1/21,9883.4,7776,5603.1,270167
80,Irving Park,1/1/21,3913.9,2953.2,1972.6,104880
81,Lawrence,1/1/21,4613.7,3724.8,2695.4,127071
81W,West Lawrence,1/1/21,636.9,363.8,223.7,15898
82,Kimball-Homan,1/1/21,5842,4474.5,3243,158670
84,Peterson,1/1/21,1203.2,722.3,451,30381
85,Central,1/1/21,3842.7,2655.1,2163.7,103111
85A,North Central,1/1/21,251.4,187.2,0,5963
86,Narragansett/Ridgeland,1/1/21,524.2,0,0,10484
87,87th,1/1/21,4127,2973.8,2308,111257
88,Higgins,1/1/21,450,241.9,215.1,11500
90,Harlem,1/1/21,1953.5,1240.2,816.2,50168
91,Austin,1/1/21,2422.6,1555.4,1005.8,62263
92,Foster,1/1/21,2310.5,1474.5,1072.7,60018
93,California/Dodge,1/1/21,1241.2,702,0,28334
94,California,1/1/21,3806.4,2379.2,1770.2,98645
95,95th,1/1/21,2319.4,1660.8,1260.5,62254
96,Lunt,1/1/21,298.6,0,0,5973
97,Skokie,1/1/21,1148.8,709.8,548.1,29813
X98,Avon Express,1/1/21,16.1,10,0,319
100,Jeffery Manor Express,1/1/21,193.8,0,0,3876
103,West 103rd,1/1/21,741,538.3,389,19845
106,East 103rd,1/1/21,371.9,200.4,135.8,9254
108,Halsted/95th,1/1/21,320.4,0,0,6408
111,111th/King Drive,1/1/21,1139,783.7,565.6,30092
111A,Pullman Shuttle,1/1/21,133.3,139.9,106.5,4005
112,Vincennes/111th,1/1/21,564.8,351.5,241.1,14500
115,Pullman/115th,1/1/21,999.3,717.7,563.1,26953
119,Michigan/119th,1/1/21,1621.8,1224,967.4,44359
120,Ogilvie/Streeterville Express,1/1/21,46.7,0,0,935
121,Union/Streeterville Express,1/1/21,66.9,0,0,1338
124,Navy Pier,1/1/21,136.1,143.7,88.5,3973
125,Water Tower Express,1/1/21,112.9,0,0,2259
126,Jackson,1/1/21,1444.2,937.6,779.2,38246
134,Stockton/LaSalle Express,1/1/21,130,0,0,2600
135,Clarendon/LaSalle Express,1/1/21,202.5,0,0,4051
136,Sheridan/LaSalle Express,1/1/21,220.5,0,0,4410
143,Stockton/Michigan Express,1/1/21,208.9,0,0,4178
146,Inner Drive/Michigan Express,1/1/21,3728.8,2909.9,2135.5,101937
147,Outer Drive Express,1/1/21,4121.6,3407.1,2386.9,113788
148,Clarendon/Michigan Express,1/1/21,424.3,0,0,8486
151,Sheridan,1/1/21,4529.2,3979.1,2748.1,126968
152,Addison,1/1/21,2382.2,1422.9,894.1,60123
155,Devon,1/1/21,2570.2,2103.9,1523.2,71062
156,LaSalle,1/1/21,613.6,0,0,12271
157,Streeterville/Taylor,1/1/21,1056.9,0,0,21139
165,West 65th,1/1/21,74.6,0,0,1493
169,69th-UPS Express,1/1/21,68.4,23,0,1414
171,U. of Chicago/Hyde Park,1/1/21,213.2,75.9,0,4643
172,U. of Chicago/Kenwood,1/1/21,296.1,160.2,131,7509
192,U. of Chicago Hospitals Express,1/1/21,170.9,0,0,3418
201,Central/Ridge,1/1/21,579.7,413.7,0,13662
206,Evanston Circulator,1/1/21,65.4,0,0,1308
1001,Shuttle/Special Event Route,1/1/21,85.2,1565.6,1396.5,17912
1,Bronzeville/Union Station,2/1/21,224.1,0,0,4483
2,Hyde Park Express,2/1/21,489.1,0,0,9781
3,King Drive,2/1/21,5488.2,4255.7,2971.4,138673
4,Cottage Grove,2/1/21,7966.6,5634.6,3673,196562
5,South Shore Night Bus,2/1/21,167.5,150.3,131.2,4476
6,Jackson Park Express,2/1/21,2771.8,2912.3,2063.9,75341
7,Harrison,2/1/21,1191.3,0,0,23826
8,Halsted,2/1/21,6176.2,4787.5,3139.1,155229
8A,South Halsted,2/1/21,1008.9,888.2,561.4,25976
9,Ashland,2/1/21,7873.2,7928.4,5538.6,211331
X9,Ashland Express,2/1/21,2680.7,0,0,53614
11,Lincoln,2/1/21,587.7,381,220.3,14159
12,Roosevelt,2/1/21,4780.4,3202.8,2162.7,117070
J14,Jeffery Jump,2/1/21,3146.2,2156.5,1473.1,77443
15,Jeffery Local,2/1/21,2685.6,2151.2,1434.9,68057
18,16th/18th,2/1/21,1388.9,1120.4,698.4,35054
20,Madison,2/1/21,5552.4,3835.8,2867.2,137860
21,Cermak,2/1/21,3252.8,2574.1,1629.1,81868
22,Clark,2/1/21,6501.2,5169.4,4018.4,166776
24,Wentworth,2/1/21,660.9,0,0,13217
26,South Shore Express,2/1/21,1419.1,0,0,28382
28,Stony Island,2/1/21,1892.7,1351,816.1,46522
29,State,2/1/21,2960.9,2167.3,1759.9,74927
30,South Chicago,2/1/21,953.1,742.6,441.5,23799
31,31st,2/1/21,179.9,0,0,3598
34,South Michigan,2/1/21,1642.7,1346.4,921.3,41925
35,31st/35th,2/1/21,1500.5,920,651.5,36295
36,Broadway,2/1/21,5398.4,5174,3545,142845
37,Sedgwick,2/1/21,181.6,0,0,3632
39,Pershing,2/1/21,624.8,271.4,188.2,14333
43,43rd,2/1/21,532.3,317.6,214.8,12776
44,Wallace-Racine,2/1/21,1057.5,584.3,393.9,25062
47,47th,2/1/21,4110.1,2870.5,2033.5,101818
48,South Damen,2/1/21,258.3,0,0,5166
49,Western,2/1/21,6252.3,5509.8,3976,162989
49B,North Western,2/1/21,2079.8,1486.1,1207.8,52372
X49,Western Express,2/1/21,1773.4,0,0,35467
50,Damen,2/1/21,3406.7,1950.2,1335.4,81277
51,51st,2/1/21,499.1,397.2,263.6,12624
52,Kedzie,2/1/21,3238.4,2308.8,1511,80047
52A,South Kedzie,2/1/21,1454.1,886.4,591.1,34992
53,Pulaski,2/1/21,7303.4,5293.6,3911.1,182886
53A,South Pulaski,2/1/21,2245.6,1234.3,757.6,52880
54,Cicero,2/1/21,4230.5,3005,2127.8,105141
54A,North Cicero/Skokie Blvd.,2/1/21,225.9,0,0,4518
54B,South Cicero,2/1/21,1096.9,813.1,509.4,27228
55,Garfield,2/1/21,3201.5,2575.2,1836.9,81678
55A,55th/Austin,2/1/21,68.2,0,0,1364
55N,55th/Narragansett,2/1/21,155.7,100,0,3515
56,Milwaukee,2/1/21,2972.7,1996.6,1498.3,73435
57,Laramie,2/1/21,787.3,443.3,241.5,18485
59,59th/61st,2/1/21,1107,747.9,0,25132
60,Blue Island/26th,2/1/21,3227.9,2175.1,1436.2,79003
62,Archer,2/1/21,3148.5,2121,1759.4,78492
62H,Archer/Harlem,2/1/21,379.3,214.2,0,8443
63,63rd,2/1/21,5544.9,4206.2,3136.8,140271
63W,West 63rd,2/1/21,536.1,250.2,251.5,12730
65,Grand,2/1/21,2039.7,1455.5,929.1,50333
66,Chicago,2/1/21,7396.4,5391.3,3788.7,184648
67,67th-69th-71st,2/1/21,3703.7,2455.9,2023.7,91992
68,Northwest Highway,2/1/21,367.8,239.6,139.4,8873
70,Division,2/1/21,3007.6,2149.1,1569.2,75026
71,71st/South Shore,2/1/21,3578.6,2844.1,2002.7,90960
72,North,2/1/21,5259.2,4062.6,2887.4,132985
73,Armitage,2/1/21,1682.3,1020.6,735.7,40672
74,Fullerton,2/1/21,4294.9,3047.6,2150.7,106691
75,74th-75th,2/1/21,2670,2100.5,1441.8,67570
76,Diversey,2/1/21,4141.2,2792.6,1719.2,100872
77,Belmont,2/1/21,6799.6,4694.3,3426.1,168474
78,Montrose,2/1/21,2250.3,1598.1,989,55354
79,79th,2/1/21,9714.3,8011.3,5693.1,249103
80,Irving Park,2/1/21,4038.1,3168.9,1979.6,101356
81,Lawrence,2/1/21,4985.7,3863.6,2954.1,126985
81W,West Lawrence,2/1/21,666.4,356.4,224.1,15650
82,Kimball-Homan,2/1/21,6055.4,4357.8,3276.1,151643
84,Peterson,2/1/21,1241.9,742.3,403.2,29420
85,Central,2/1/21,3904.6,2842.2,1930.3,97182
85A,North Central,2/1/21,245.8,162.5,0,5566
86,Narragansett/Ridgeland,2/1/21,495.4,0,0,9908
87,87th,2/1/21,3987.1,3050.5,2317,101211
88,Higgins,2/1/21,479.8,273.4,146.4,11275
90,Harlem,2/1/21,1857.8,1197.7,729.1,44862
91,Austin,2/1/21,2408.8,1531.6,1037.1,58450
92,Foster,2/1/21,2496.3,1503.5,1218,60813
93,California/Dodge,2/1/21,1318.4,731.1,0,29293
94,California,2/1/21,4027,2507.8,1792.7,97742
95,95th,2/1/21,2099.8,1529.5,1124.9,52613
96,Lunt,2/1/21,310.6,0,0,6211
