station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,1/1/21,1687.1,1194.8,942.3,45369
41190,Jarvis,1/1/21,390.5,330.6,245,10932
40100,Morse,1/1/21,1064.5,791.2,642,29098
41300,Loyola,1/1/21,1007.7,861.4,647,28343
40760,Granville,1/1/21,801.9,685.4,482.7,22360
40880,Thorndale,1/1/21,632.9,487.8,371.3,17325
41380,Bryn Mawr,1/1/21,1002.1,765.4,552,27180
40340,Berwyn,1/1/21,700.5,557.4,416.2,19294
41200,Argyle,1/1/21,693.6,568.4,408.8,19167
40770,Lawrence,1/1/21,676.8,491.2,382.8,18288
40540,Wilson,1/1/21,1689.6,1337.8,957,46223
40080,Sheridan,1/1/21,861.6,603.8,430.5,22833
41420,Addison-North Main,1/1/21,948,1209.8,704.2,29233
41320,Belmont-North Main,1/1/21,2050.5,2327,1410.7,61109
41220,Fullerton,1/1/21,1529.3,1286.2,883.7,42318
40650,North/Clybourn,1/1/21,1121.8,915,678,31078
40630,Clark/Division,1/1/21,1490.8,1146.2,914.7,41034
41450,Chicago/State,1/1/21,2536.5,1921.4,1418,68845
40330,Grand/State,1/1/21,1346.1,1162.4,917.8,38241
41660,Lake/State,1/1/21,2844.7,2058,1544.8,76452
41090,Monroe/State,1/1/21,1020.4,551.4,374.2,25409
40560,Jackson/State,1/1/21,959,554.6,408.5,24404
41490,Harrison,1/1/21,504.7,404,295.8,13888
41400,Roosevelt,1/1/21,2543.5,2079.2,1475.2,70117
41000,Cermak-Chinatown,1/1/21,714.6,697.6,464.3,20565
40190,Sox-35th-Dan Ryan,1/1/21,780.4,518.8,372.2,20435
41230,47th-Dan Ryan,1/1/21,846.5,605,467.5,22759
41170,Garfield-Dan Ryan,1/1/21,892.4,642.2,433,23656
40910,63rd-Dan Ryan,1/1/21,918.6,678.8,550.5,25069
40990,69th,1/1/21,1487.3,1123.4,806.2,40200
40240,79th,1/1/21,2129.5,1553.2,1197.7,57541
41430,87th,1/1/21,1186.9,900,661.7,32207
40450,95th/Dan Ryan,1/1/21,3151.9,2066.2,1600.8,82974
41050,Linden,1/1/21,159.4,99.2,66.2,4080
41250,Central-Evanston,1/1/21,244.8,118.8,102.7,6105
40400,Noyes,1/1/21,168.9,112.8,79.7,4420
40520,Foster,1/1/21,142.6,105.6,77.3,3843
40050,Davis,1/1/21,718.3,568.6,412.2,19681
40690,Dempster,1/1/21,182.7,147.6,116.2,5088
40270,Main,1/1/21,226.5,184.8,127.3,6218
40840,South Boulevard,1/1/21,171.9,118.8,106,4668
40140,Dempster-Skokie,1/1/21,355.9,211.2,152.8,9090
41680,Oakton-Skokie,1/1/21,198.1,111.8,69.2,4935
40890,O'Hare Airport,1/1/21,2396.6,2185.6,2543.8,74122
40820,Rosemont,1/1/21,1440.1,904.4,628,37092
40230,Cumberland,1/1/21,684.4,382.2,300.2,17399
40750,Harlem-O'Hare,1/1/21,633.3,369.6,272,16145
41280,Jefferson Park,1/1/21,1770.6,1119,874.7,46255
41330,Montrose-O'Hare,1/1/21,307.7,197.4,143,7998
40550,Irving Park-O'Hare,1/1/21,972.1,677,530.7,26010
41240,Addison-O'Hare,1/1/21,489.5,295.8,225.5,12622
40060,Belmont-O'Hare,1/1/21,1168.2,804.4,586.8,30907
41020,Logan Square,1/1/21,1110.8,769,560.8,29426
40570,California/Milwaukee,1/1/21,714.1,525.4,376.8,19169
40670,Western/Milwaukee,1/1/21,737.1,533.8,384.3,19716
40590,Damen/Milwaukee,1/1/21,759.2,657,441.2,21116
40320,Division/Milwaukee,1/1/21,915.4,657.8,462.3,24371
41410,Chicago/Milwaukee,1/1/21,585.9,379.8,290,15356
40490,Grand/Milwaukee,1/1/21,453.9,372.2,284.8,12647
40370,Washington/Dearborn,1/1/21,1765.3,1058.6,787.2,45322
40790,Monroe/Dearborn,1/1/21,749.4,335.2,249.7,18161
40070,Jackson/Dearborn,1/1/21,875.8,537.2,428.2,22771
41340,LaSalle,1/1/21,411.6,278.6,202,10836
40430,Clinton-Forest Park,1/1/21,443.2,297.6,233.3,11752
40350,UIC-Halsted,1/1/21,583.2,456.2,348,16032
40470,Racine,1/1/21,265.7,210.6,151.8,7278
40810,Medical Center,1/1/21,715.9,318,252.2,17421
40220,Western-Forest Park,1/1/21,373.2,279.2,206.8,10101
40250,Kedzie-Homan-Forest Park,1/1/21,601.2,463,365.8,16534
40920,Pulaski-Forest Park,1/1/21,941.9,824.8,686.5,27080
40970,Cicero-Forest Park,1/1/21,470.3,343,256.3,12658
40010,Austin-Forest Park,1/1/21,382.7,242.2,211.7,10135
40180,Oak Park-Forest Park,1/1/21,216.6,139.4,97.8,5616
40980,Harlem-Forest Park,1/1/21,360.5,211.2,134.2,9070
40390,Forest Park,1/1/21,855,519,399.3,22090
41030,Polk,1/1/21,1013.8,299.8,210.5,23037
40830,18th,1/1/21,474.3,377.2,274,13016
40210,Damen-Cermak,1/1/21,408.4,299.2,210.7,10928
40740,Western-Cermak,1/1/21,428.7,287.4,211.3,11278
40440,California-Cermak,1/1/21,486.7,287.4,220,12491
41040,Kedzie-Cermak,1/1/21,346.8,253.2,207,9443
40780,Central Park,1/1/21,371.2,240.2,194.7,9793
40150,Pulaski-Cermak,1/1/21,414.6,305.2,255.2,11349
40600,Kostner,1/1/21,173.6,116.4,98.8,4647
40420,Cicero-Cermak,1/1/21,463,342.6,273.8,12615
40580,54th/Cermak,1/1/21,735.8,485.8,340.2,19185
40020,Harlem-Lake,1/1/21,1068.3,761.8,478.5,28045
41350,Oak Park-Lake,1/1/21,238.2,173.6,100.7,6235
40610,Ridgeland,1/1/21,196.6,131,109.3,5243
41260,Austin-Lake,1/1/21,515.4,341.6,238.7,13448
40280,Central-Lake,1/1/21,721.4,504,366.2,19144
40700,Laramie,1/1/21,371.3,276.8,202.7,10026
40480,Cicero-Lake,1/1/21,426.5,322.6,234,11546
40030,Pulaski-Lake,1/1/21,570,411,321.2,15381
41670,Conservatory,1/1/21,406.5,325.4,241.5,11205
41070,Kedzie-Lake,1/1/21,357.6,263.2,183.3,9568
41360,California-Lake,1/1/21,364.5,217.2,164.2,9361
40170,Ashland-Lake,1/1/21,627,375,205.2,15645
41510,Morgan-Lake,1/1/21,571.9,482,336.3,15866
41160,Clinton-Lake,1/1/21,650.1,321.6,224.8,15958
41690,Cermak-McCormick Place,1/1/21,344.1,261.2,181.2,9274
41120,35-Bronzeville-IIT,1/1/21,351.5,242.2,170,9261
40300,Indiana,1/1/21,191.7,132,99.8,5093
41270,43rd,1/1/21,264.2,184,134.7,7011
41080,47th-South Elevated,1/1/21,312.7,226.2,161,8350
40130,51st,1/1/21,278.3,211.2,153.5,7542
40510,Garfield-South Elevated,1/1/21,296.9,240,162,8110
41140,King Drive,1/1/21,163.3,137.2,96.3,4529
40720,East 63rd-Cottage Grove,1/1/21,299.3,206,144.3,7881
40940,Halsted/63rd,1/1/21,172,102.4,80.5,4435
40290,Ashland/63rd,1/1/21,346.3,231.2,188.7,9213
41290,Kimball,1/1/21,1025.8,787.6,582.5,27949
41180,Kedzie-Brown,1/1/21,491,404.2,288,13569
40870,Francisco,1/1/21,281.1,178.2,154,7437
41010,Rockwell,1/1/21,262.3,170.6,134.2,6904
41480,Western-Brown,1/1/21,801.5,575.6,421,21434
40090,Damen-Brown,1/1/21,428.5,306,200.8,11304
41500,Montrose-Brown,1/1/21,403,289,182.8,10602
41460,Irving Park-Brown,1/1/21,396.7,261.8,185.7,10357
41440,Addison-Brown,1/1/21,320.3,213.8,141.2,8321
41310,Paulina,1/1/21,455.8,350.6,247,12350
40360,Southport,1/1/21,398.1,364.4,263.2,11362
41210,Wellington,1/1/21,495.2,292,197.8,12551
40530,Diversey,1/1/21,862.8,577.2,380.5,22425
40660,Armitage,1/1/21,586.2,460.8,309,15881
40800,Sedgwick,1/1/21,595.3,414,293.3,15736
40710,Chicago/Franklin,1/1/21,1167.5,702.8,465.2,29654
40460,Merchandise Mart,1/1/21,669.5,299.8,183,15987
40930,Midway Airport,1/1/21,1735.6,997,790.2,44438
40960,Pulaski-Orange,1/1/21,1112.5,658.4,455,28272
41150,Kedzie-Midway,1/1/21,944.4,574,394.8,24127
40310,Western-Orange,1/1/21,994.7,615.8,414.5,25459
40120,35th/Archer,1/1/21,623.4,369.6,260.5,15878
41060,Ashland-Orange,1/1/21,517.5,313.8,232.3,13313
41130,Halsted-Orange,1/1/21,495.2,305.2,210.8,12695
40730,Washington/Wells,1/1/21,997.9,295.8,218.3,22747
40040,Quincy/Wells,1/1/21,690.7,246.8,181.8,16139
40160,LaSalle/Van Buren,1/1/21,396.2,158.4,103.3,9336
40850,Library,1/1/21,628.1,385.2,289,16222
40680,Adams/Wabash,1/1/21,957.5,534,362.2,23992
41700,Washington/Wabash,1/1/21,2159.1,1447.2,928.2,55986
40260,State/Lake,1/1/21,1773.7,1375.8,973.3,48193
40380,Clark/Lake,1/1/21,2174.6,1096.4,842.3,54027
40900,Howard,6/1/21,2232.6,1810.3,1445.8,62142
41190,Jarvis,6/1/21,578.5,542.8,465,16757
40100,Morse,6/1/21,1631.6,1466.3,1399.8,47359
41300,Loyola,6/1/21,1625.2,1559.8,1218,46866
40760,Granville,6/1/21,1199,1060.3,907.8,34250
40880,Thorndale,6/1/21,991.1,895.8,723.8,28283
41380,Bryn Mawr,6/1/21,1493.9,1444,1240.5,43603
40340,Berwyn,6/1/21,0,0,0,0
41200,Argyle,6/1/21,1591.8,1531.8,1323.5,46441
40770,Lawrence,6/1/21,0,0,0,0
40540,Wilson,6/1/21,3270,3115.5,2310.5,93643
40080,Sheridan,6/1/21,1560.7,1631.8,1255,45882
41420,Addison-North Main,6/1/21,3814.1,7264.3,5385,134507
41320,Belmont-North Main,6/1/21,4283.8,5513,4214.8,133154
41220,Fullerton,6/1/21,3421.2,3789,2728.5,101337
40650,North/Clybourn,6/1/21,1978.3,2162.5,1671.5,58859
40630,Clark/Division,6/1/21,3168,4031.3,2986.8,97767
41450,Chicago/State,6/1/21,4869.1,5364,4082.5,144906
40330,Grand/State,6/1/21,4075.4,6559.5,4737.8,134847
41660,Lake/State,6/1/21,6223.4,6565.8,4952.5,182987
41090,Monroe/State,6/1/21,2126.8,2213.3,1640.8,62206
40560,Jackson/State,6/1/21,1785.5,1608.5,1291.8,50881
41490,Harrison,6/1/21,1230.4,1580,1104,37804
41400,Roosevelt,6/1/21,4386.7,4411,3369.5,127629
41000,Cermak-Chinatown,6/1/21,1765.6,2595.5,2113.3,57679
40190,Sox-35th-Dan Ryan,6/1/21,2076.2,2218.5,1673,61243
41230,47th-Dan Ryan,6/1/21,1124.6,949.8,768.8,31615
41170,Garfield-Dan Ryan,6/1/21,1260.3,1017.3,813.8,35050
40910,63rd-Dan Ryan,6/1/21,1101.2,861.5,733.8,30608
40990,69th,6/1/21,1747.7,1377.3,1072,48246
40240,79th,6/1/21,2460,1951.8,1577.8,68237
41430,87th,6/1/21,1425.3,1070.3,901,39242
40450,95th/Dan Ryan,6/1/21,3614.7,2443.8,2108,97731
41050,Linden,6/1/21,400.7,465.5,280,11798
41250,Central-Evanston,6/1/21,375.6,249,180.8,9982
40400,Noyes,6/1/21,325.5,278.5,193.5,9050
40520,Foster,6/1/21,294.1,323,230.5,8685
40050,Davis,6/1/21,1240.7,1173,842,35356
40690,Dempster,6/1/21,316.4,300.5,255,9182
40270,Main,6/1/21,423.5,376,267.8,11893
40840,South Boulevard,6/1/21,294.2,196.8,176.8,7967
40140,Dempster-Skokie,6/1/21,599.8,554.8,471.8,17302
41680,Oakton-Skokie,6/1/21,313.2,185.5,148.8,8227
40890,O'Hare Airport,6/1/21,5520.6,4723.5,5827.3,163657
40820,Rosemont,6/1/21,2351,1895,1475.8,65205
40900,Howard,2/1/21,1765.5,1275.5,968,44283
41190,Jarvis,2/1/21,439.7,374,269.5,11367
40100,Morse,2/1/21,1208.1,921.8,670.3,30530
41300,Loyola,2/1/21,1223.2,1239.3,783,32552
40760,Granville,2/1/21,950.3,952.5,596.3,25200
40880,Thorndale,2/1/21,710.5,592.5,411.5,18226
41380,Bryn Mawr,2/1/21,1067.4,852.5,586.3,27103
40340,Berwyn,2/1/21,780,654,475.8,20118
41200,Argyle,2/1/21,810.3,740.5,506.3,21192
40770,Lawrence,2/1/21,610.4,559.5,424.3,16143
40540,Wilson,2/1/21,1911,1622.5,1053.8,48925
40080,Sheridan,2/1/21,964.1,803.5,533.8,24631
41420,Addison-North Main,2/1/21,1163,1145.8,723.8,30737
41320,Belmont-North Main,2/1/21,2352.5,2181.5,1442,61543
41220,Fullerton,2/1/21,1830.9,1660.8,1047.5,47450
40650,North/Clybourn,2/1/21,1246.3,1152.8,837.8,32887
40630,Clark/Division,2/1/21,1741.2,1622,1137,45859
41450,Chicago/State,2/1/21,2827.5,2492.5,1727.3,73428
40330,Grand/State,2/1/21,1620.7,1784.5,1321,44836
41660,Lake/State,2/1/21,3221.2,2688.5,1854.5,82596
41090,Monroe/State,2/1/21,1112,805.3,505,27481
40560,Jackson/State,2/1/21,1036.9,716.5,491,25568
41490,Harrison,2/1/21,615.4,624.3,443.5,16578
41400,Roosevelt,2/1/21,2755.8,2436,1674,71555
41000,Cermak-Chinatown,2/1/21,776.3,884.8,597.8,21455
40190,Sox-35th-Dan Ryan,2/1/21,801.8,583.3,401.8,19975
41230,47th-Dan Ryan,2/1/21,855,639.3,471,21541
41170,Garfield-Dan Ryan,2/1/21,910.4,711.3,452.5,22862
40910,63rd-Dan Ryan,2/1/21,894.9,681.3,511.3,22667
40990,69th,2/1/21,1473.4,1117.8,792.3,37107
40240,79th,2/1/21,2192.5,1686.5,1214,55452
41430,87th,2/1/21,1142.9,897.8,666.8,29115
40450,95th/Dan Ryan,2/1/21,3069.8,2070.5,1510,75717
41050,Linden,2/1/21,167.3,83,65.3,3938
41250,Central-Evanston,2/1/21,273.3,119.8,98.8,6339
40400,Noyes,2/1/21,197.7,177.8,121.3,5150
40520,Foster,2/1/21,142.1,143.3,91.8,3781
40050,Davis,2/1/21,734.3,633.8,411,18864
40690,Dempster,2/1/21,179.2,191.8,116.8,4818
40270,Main,2/1/21,250.2,215.5,146,6450
40840,South Boulevard,2/1/21,172.2,133.5,97.5,4367
40140,Dempster-Skokie,2/1/21,316.5,204.8,157.8,7780
41680,Oakton-Skokie,2/1/21,180,108.3,71,4316
40890,O'Hare Airport,2/1/21,2601.9,2239,2567.5,71263
40820,Rosemont,2/1/21,1473.4,976.8,731,36299
40230,Cumberland,2/1/21,723.1,416,305.5,17348
40750,Harlem-O'Hare,2/1/21,631.9,370.8,266.5,15187
41280,Jefferson Park,2/1/21,1805.9,1157.3,866,44211
41330,Montrose-O'Hare,2/1/21,310.6,205.8,151.3,7639
40550,Irving Park-O'Hare,2/1/21,1042.9,755.3,543.8,26054
41240,Addison-O'Hare,2/1/21,536.3,334,237,13009
40060,Belmont-O'Hare,2/1/21,1296.3,889,656.8,32108
41020,Logan Square,2/1/21,1287.6,955.3,634,32108
40570,California/Milwaukee,2/1/21,841.1,674.3,425.5,21220
40670,Western/Milwaukee,2/1/21,867.8,670.5,431.3,21763
40590,Damen/Milwaukee,2/1/21,947.5,919.5,601.5,25034
40320,Division/Milwaukee,2/1/21,1105.6,900.3,592.8,28084
41410,Chicago/Milwaukee,2/1/21,732.7,488.5,355,18028
40490,Grand/Milwaukee,2/1/21,528.5,445.8,367,13820
40370,Washington/Dearborn,2/1/21,1912.6,1341.5,906,47241
40790,Monroe/Dearborn,2/1/21,845,418,303,19784
40070,Jackson/Dearborn,2/1/21,941.3,616,446.8,23076
41340,LaSalle,2/1/21,468.3,334.3,245.5,11685
40430,Clinton-Forest Park,2/1/21,444.4,309,253.3,11136
40350,UIC-Halsted,2/1/21,635,537.5,410.5,16492
40470,Racine,2/1/21,306.9,225.8,164.3,7697
40810,Medical Center,2/1/21,734,341.8,222.5,16937
40220,Western-Forest Park,2/1/21,379.4,300.8,211.8,9638
40250,Kedzie-Homan-Forest Park,2/1/21,620.7,499.3,384,15946
40920,Pulaski-Forest Park,2/1/21,764.4,632.3,526.5,19923
40970,Cicero-Forest Park,2/1/21,454.2,346.3,250.3,11469
40010,Austin-Forest Park,2/1/21,387,228,197.3,9440
40180,Oak Park-Forest Park,2/1/21,213.3,141.3,97,5219
40980,Harlem-Forest Park,2/1/21,346.1,220.5,134.8,8342
40390,Forest Park,2/1/21,825.2,489.5,386.3,20006
41030,Polk,2/1/21,1163,332,221,25471
40830,18th,2/1/21,566.6,459.3,319.8,14448
40210,Damen-Cermak,2/1/21,490.1,371.8,257.8,12319
40740,Western-Cermak,2/1/21,447.7,314.8,214.3,11069
40440,California-Cermak,2/1/21,543.3,352.3,239.3,13232
41040,Kedzie-Cermak,2/1/21,368.5,276.3,200.5,9277
40780,Central Park,2/1/21,376,266.5,209.5,9423
40150,Pulaski-Cermak,2/1/21,409.8,292,223.8,10258
40600,Kostner,2/1/21,163.9,116,87.5,4092
40420,Cicero-Cermak,2/1/21,472.8,354,266,11936
40580,54th/Cermak,2/1/21,775.6,460,339.8,18710
40020,Harlem-Lake,2/1/21,1082.5,745.3,492.8,26601
41350,Oak Park-Lake,2/1/21,258.1,182.8,104.5,6311
40610,Ridgeland,2/1/21,221.9,133,114.5,5428
41260,Austin-Lake,2/1/21,520.1,360.8,225.3,12745
40280,Central-Lake,2/1/21,725.4,501.5,366.8,17981
40700,Laramie,2/1/21,361.3,261.3,182.5,9001
40480,Cicero-Lake,2/1/21,426.8,340.8,231,10823
40030,Pulaski-Lake,2/1/21,543.6,433,329.8,13923
41670,Conservatory,2/1/21,406.6,298.8,242.5,10296
41070,Kedzie-Lake,2/1/21,336,261.3,193.5,8538
41360,California-Lake,2/1/21,355.9,216,172.3,8671
40170,Ashland-Lake,2/1/21,679,446,221.8,16250
41510,Morgan-Lake,2/1/21,699.6,644.5,466.3,18434
41160,Clinton-Lake,2/1/21,733,385,270,17280
41690,Cermak-McCormick Place,2/1/21,358.9,276,163,8933
41120,35-Bronzeville-IIT,2/1/21,380.1,304.8,188.8,9575
40300,Indiana,2/1/21,194.8,134,92.8,4803
41270,43rd,2/1/21,267.7,179.5,132.3,6601
41080,47th-South Elevated,2/1/21,315.6,238.5,166,7930
40130,51st,2/1/21,281.4,212.3,142.8,7047
40510,Garfield-South Elevated,2/1/21,304.1,259,159.5,7756
41140,King Drive,2/1/21,166.3,131.3,100,4250
40720,East 63rd-Cottage Grove,2/1/21,307.4,221.8,147.3,7623
40940,Halsted/63rd,2/1/21,168.1,104,79.5,4095
40290,Ashland/63rd,2/1/21,346.6,223.5,188.3,8579
41290,Kimball,2/1/21,1163,896.3,651,29448
41180,Kedzie-Brown,2/1/21,561.2,470.8,304.3,14324
40870,Francisco,2/1/21,325.7,206.5,158.5,7973
41010,Rockwell,2/1/21,303.8,200.8,138,7430
41480,Western-Brown,2/1/21,882.1,638,457,22021
40090,Damen-Brown,2/1/21,492.5,352,224.5,12155
41500,Montrose-Brown,2/1/21,492.6,349.8,202.5,12061
41460,Irving Park-Brown,2/1/21,486.1,315.5,215.5,11845
41440,Addison-Brown,2/1/21,356.5,241.5,154,8711
41310,Paulina,2/1/21,537.1,449.8,250.5,13543
40360,Southport,2/1/21,517.2,491.8,299,13507
41210,Wellington,2/1/21,606.9,377.5,214.5,14506
40530,Diversey,2/1/21,963.6,720.8,417,23823
40660,Armitage,2/1/21,689.6,598.8,350.8,17589
40800,Sedgwick,2/1/21,669.5,501.8,313.5,16651
40710,Chicago/Franklin,2/1/21,1337.6,770.3,532.5,31963
40460,Merchandise Mart,2/1/21,796.8,412.8,241.8,18553
40930,Midway Airport,2/1/21,1760.3,1055,792.3,42595
40960,Pulaski-Orange,2/1/21,1141,692.3,474,27484
41150,Kedzie-Midway,2/1/21,979,638.8,418,23807
40310,Western-Orange,2/1/21,1007.6,634,440.5,24450
40120,35th/Archer,2/1/21,647,400,269,15615
41060,Ashland-Orange,2/1/21,522.4,311,240.8,12655
